step_data_id,question_step_id,name,value
1,1,answer,3
2,2,answer,3
3,3,answer,1
4,4,answer,0
5,5,answer,0
6,6,answer,1
7,7,answer,1
8,8,answer,1
9,9,answer,2
10,10,answer,1
11,11,answer,1
12,12,answer,2
13,13,answer,2
14,14,answer,1
15,15,answer,0
16,16,answer,2
17,17,answer,3
18,18,answer,0
19,19,answer,2
20,20,answer,0
21,21,answer,1
22,22,answer,1
23,23,answer,1
24,24,answer,0
25,25,answer,0
26,26,answer,3
27,27,answer,2
28,28,answer,1
29,29,answer,3
30,30,answer,2
31,31,answer,1
32,32,answer,2
33,33,answer,2
34,34,answer,1
35,35,answer,1
36,36,answer,1
37,37,answer,2
38,38,answer,1
39,39,answer,0
40,40,answer,2
41,41,answer,1
42,42,answer,1
43,43,answer,0
44,44,answer,2
45,45,answer,3
46,46,answer,3
47,47,answer,1
48,48,answer,1
49,49,answer,2
50,50,answer,2
51,51,answer,1
52,52,answer,0
53,53,answer,1
54,54,answer,2
55,55,answer,2
56,56,answer,1
57,57,answer,2
58,58,answer,2
59,59,answer,2
60,60,answer,0
61,61,answer,0
62,62,answer,1
63,63,answer,2
64,64,answer,0
65,65,answer,0
66,66,answer,1
67,67,answer,2
68,68,answer,1
69,69,answer,2
70,70,answer,3
71,71,answer,3
72,72,answer,2
73,73,answer,3
74,74,answer,3
75,75,answer,2
76,76,answer,2
77,77,answer,2
78,78,answer,3
79,79,answer,2
80,80,answer,2
81,81,answer,3
82,82,answer,3
83,83,answer,0
84,84,answer,0
85,85,answer,1
86,86,answer,2
87,87,answer,1
88,88,answer,0
89,89,answer,2
90,90,answer,3
91,91,answer,1
92,92,answer,0
93,93,answer,1
94,94,answer,3
95,95,answer,1
96,96,answer,3
97,97,answer,0
98,98,answer,1
99,99,answer,1
100,100,answer,2
101,101,answer,3
102,102,answer,3
103,103,answer,3
104,104,answer,0
105,105,answer,3
106,106,answer,1
107,107,answer,1
108,108,answer,3
109,109,answer,2
110,110,answer,1
111,111,answer,0
112,112,answer,1
113,113,answer,3
114,114,answer,2
115,115,answer,3
116,116,answer,3
117,117,answer,1
118,118,answer,0
119,119,answer,0
120,120,answer,1
121,121,answer,1
122,122,answer,1
123,123,answer,2
124,124,answer,1
125,125,answer,1
126,126,answer,2
127,127,answer,2
128,128,answer,1
129,129,answer,0
130,130,answer,2
131,131,answer,3
132,132,answer,0
133,133,answer,2
134,134,answer,0
135,135,answer,1
136,136,answer,1
137,137,answer,1
138,138,answer,2
139,139,answer,3
140,140,answer,2
141,141,answer,1
142,142,answer,0
143,143,answer,2
144,144,answer,1
145,145,answer,1
146,146,answer,1
147,147,answer,2
148,148,answer,1
149,149,answer,0
150,150,answer,2
151,151,answer,1
152,152,answer,1
153,153,answer,0
154,154,answer,2
155,155,answer,3
156,156,answer,3
157,157,answer,1
158,158,answer,1
159,159,answer,2
160,160,answer,2
161,161,answer,1
162,162,answer,2
163,163,answer,1
164,164,answer,0
165,165,answer,3
166,166,answer,1
167,167,answer,2
168,168,answer,2
169,169,answer,0
170,170,answer,0
171,171,answer,1
172,172,answer,2
173,173,answer,0
174,174,answer,0
175,175,answer,1
176,176,answer,2
177,177,answer,1
178,178,answer,2
179,179,answer,3
180,180,answer,3
181,181,answer,2
182,182,answer,3
183,183,answer,3
184,184,answer,2
185,185,answer,2
186,186,answer,2
187,187,answer,3
188,188,answer,2
189,189,answer,0
190,190,answer,2
191,191,answer,0
192,192,answer,0
193,193,answer,0
194,194,answer,1
195,195,answer,2
196,196,answer,1
197,197,answer,0
198,198,answer,0
199,199,answer,3
200,200,answer,1
201,201,answer,0
202,202,answer,1
203,203,answer,3
204,204,answer,1
205,205,answer,3
206,206,answer,0
207,207,answer,1
208,208,answer,1
209,209,answer,2
210,210,answer,3
211,211,answer,3
212,212,answer,3
213,213,answer,0
214,214,answer,3
215,215,answer,1
216,216,answer,1
217,217,answer,1
218,218,answer,1
219,219,answer,2
220,220,answer,2
221,221,answer,3
222,222,answer,0
223,223,answer,0
224,224,answer,3
225,225,answer,3
226,226,answer,1
227,227,answer,0
228,228,answer,0
229,229,answer,1
230,230,answer,1
231,231,answer,1
232,232,answer,2
233,233,answer,1
234,234,answer,1
235,235,answer,2
236,236,answer,2
237,237,answer,1
238,238,answer,0
239,239,answer,2
240,240,answer,3
241,241,answer,0
242,242,answer,2
243,243,answer,0
244,244,answer,1
245,245,answer,1
246,246,answer,1
247,247,answer,3
248,248,answer,0
249,249,answer,0
250,250,answer,1
251,251,answer,2
252,252,answer,2
253,253,answer,2
254,254,answer,1
255,255,answer,1
256,256,answer,2
257,257,answer,1
258,258,answer,0
259,259,answer,2
260,260,answer,1
261,261,answer,1
262,262,answer,0
263,263,answer,2
264,264,answer,2
265,265,answer,3
266,266,answer,1
267,267,answer,1
268,268,answer,2
269,269,answer,2
270,270,answer,1
271,271,answer,2
272,272,answer,0
273,273,answer,2
274,274,answer,1
275,275,answer,2
276,276,answer,2
277,277,answer,2
278,278,answer,0
279,279,answer,0
280,280,answer,1
281,281,answer,2
282,282,answer,0
283,283,answer,0
284,284,answer,1
285,285,answer,2
286,286,answer,1
287,287,answer,2
288,288,answer,3
289,289,answer,3
290,290,answer,2
291,291,answer,3
292,292,answer,3
293,293,answer,2
294,294,answer,2
295,295,answer,2
296,296,answer,3
297,297,answer,2
298,298,answer,2
299,299,answer,3
300,300,answer,2
301,301,answer,1
302,302,answer,2
303,303,answer,0
304,304,answer,0
305,305,answer,0
306,306,answer,0
307,307,answer,1
308,308,answer,2
309,309,answer,1
310,310,answer,0
311,311,answer,0
312,312,answer,3
313,313,answer,1
314,314,answer,0
315,315,answer,1
316,316,answer,3
317,317,answer,0
318,318,answer,3
319,319,answer,0
320,320,answer,3
321,321,answer,1
322,322,answer,2
323,323,answer,3
324,324,answer,3
325,325,answer,3
326,326,answer,0
327,327,answer,3
328,328,answer,1
329,329,answer,1
330,330,answer,3
331,331,answer,3
332,332,answer,1
333,333,answer,0
334,334,answer,0
335,335,answer,1
336,336,answer,1
337,337,answer,1
338,338,answer,2
339,339,answer,1
340,340,answer,1
341,341,answer,2
342,342,answer,2
343,343,answer,1
344,344,answer,3
345,345,answer,2
346,346,answer,3
347,347,answer,0
348,348,answer,2
349,349,answer,0
350,350,answer,1
351,351,answer,1
352,352,answer,1
353,353,answer,2
354,354,answer,3
355,355,answer,3
356,356,answer,0
357,357,answer,1
358,358,answer,1
359,359,answer,2
360,360,answer,2
361,361,answer,1
362,362,answer,2
363,363,answer,2
364,364,answer,1
365,365,answer,1
366,366,answer,1
367,367,answer,2
368,368,answer,1
369,369,answer,2
370,370,answer,2
371,371,answer,1
372,372,answer,1
373,373,answer,0
374,374,answer,2
375,375,answer,3
376,376,answer,3
377,377,answer,1
378,378,answer,1
379,379,answer,2
380,380,answer,2
381,381,answer,1
382,382,answer,2
383,383,answer,3
384,384,answer,0
385,385,answer,2
386,386,answer,2
387,387,answer,0
388,388,answer,0
389,389,answer,2
390,390,answer,2
391,391,answer,0
392,392,answer,0
393,393,answer,1
394,394,answer,2
395,395,answer,1
396,396,answer,2
397,397,answer,3
398,398,answer,3
399,399,answer,2
400,400,answer,3
401,401,answer,3
402,402,answer,2
403,403,answer,2
404,404,answer,2
405,405,answer,3
406,406,answer,2
407,407,answer,2
408,408,answer,3
409,409,answer,0
410,410,answer,0
411,411,answer,1
412,412,answer,2
413,413,answer,1
414,414,answer,0
415,415,answer,0
416,416,answer,3
417,417,answer,1
418,418,answer,0
419,419,answer,1
420,420,answer,3
421,421,answer,1
422,422,answer,3
423,423,answer,0
424,424,answer,1
425,425,answer,1
426,426,answer,2
427,427,answer,3
428,428,answer,3
429,429,answer,3
430,430,answer,0
431,431,answer,3
432,432,answer,1
433,433,answer,1
434,434,answer,3
435,435,answer,2
436,436,answer,2
437,437,answer,1
438,438,answer,1
439,439,answer,0
440,440,answer,2
441,441,answer,2
442,442,answer,2
443,443,answer,2
444,444,answer,3
445,445,answer,0
446,446,answer,0
447,447,answer,1
448,448,answer,1
449,449,answer,0
450,450,answer,1
451,451,answer,3
452,452,answer,2
453,453,answer,0
454,454,answer,1
455,455,answer,1
456,456,answer,2
457,457,answer,0
458,458,answer,2
459,459,answer,1
460,460,answer,3
461,461,answer,1
462,462,answer,2
463,463,answer,1
464,464,answer,3
465,465,answer,2
466,466,answer,2
467,467,answer,2
468,468,answer,1
469,469,answer,0
470,470,answer,1
471,471,answer,2
472,472,answer,2
473,473,answer,1
474,474,answer,2
475,475,answer,2
476,476,answer,2
477,477,answer,1
478,478,answer,2
479,479,answer,2
480,480,answer,2
481,481,answer,1
482,482,answer,2
483,483,answer,2
484,484,answer,3
485,485,answer,1
486,486,answer,0
487,487,answer,2
488,488,answer,1
489,489,answer,2
490,490,answer,3
491,491,answer,1
492,492,answer,1
493,493,answer,0
494,494,answer,3
495,495,answer,2
496,496,answer,0
497,497,answer,0
498,498,answer,2
499,499,answer,3
500,500,answer,3
501,501,answer,3
502,502,answer,0
503,503,answer,3
504,504,answer,3
505,505,answer,0
506,506,answer,0
507,507,answer,1
508,508,answer,2
509,509,answer,2
510,510,answer,3
511,511,answer,2
512,512,answer,3
513,513,answer,3
514,514,answer,0
515,515,answer,1
516,516,answer,0
517,517,answer,3
518,518,answer,1
519,519,answer,2
520,520,answer,0
521,521,answer,3
522,522,answer,2
523,523,answer,3
524,524,answer,2
525,525,answer,3
526,526,answer,1
527,527,answer,0
528,528,answer,2
529,529,answer,3
530,530,answer,1
531,531,answer,0
532,532,answer,3
533,533,answer,1
534,534,answer,0
535,535,answer,3
536,536,answer,0
537,537,answer,1
538,538,answer,1
539,539,answer,3
540,540,answer,2
541,541,answer,1
542,542,answer,0
543,543,answer,1
544,544,answer,0
545,545,answer,2
546,546,answer,1
547,547,answer,1
548,548,answer,0
549,549,answer,2
550,550,answer,2
551,551,answer,2
552,552,answer,2
553,553,answer,3
554,554,answer,0
555,555,answer,0
556,556,answer,1
557,557,answer,1
558,558,answer,0
559,559,answer,1
560,560,answer,1
561,561,answer,2
562,562,answer,0
563,563,answer,1
564,564,answer,1
565,565,answer,2
566,566,answer,1
567,567,answer,3
568,568,answer,1
569,569,answer,1
570,570,answer,0
571,571,answer,2
572,572,answer,1
573,573,answer,1
574,574,answer,1
575,575,answer,2
576,576,answer,1
577,577,answer,3
578,578,answer,2
579,579,answer,2
580,580,answer,2
581,581,answer,1
582,582,answer,0
583,583,answer,1
584,584,answer,2
585,585,answer,2
586,586,answer,1
587,587,answer,2
588,588,answer,2
589,589,answer,2
