question_attempt_id,question_usage_id,questionid,maxmark
1,1,10,1.2
2,1,15,1.4
3,1,8,1.9
4,1,19,1.1
5,1,13,1.4
6,1,6,1.2
7,1,1,1.9
8,1,18,1.1
9,1,17,1.2
10,1,3,2.0
11,1,16,1.0
12,1,4,1.3
13,1,12,1.8
14,1,7,1.0
15,1,11,1.5
16,1,9,1.5
17,1,5,1.4
18,1,20,1.6
19,1,2,1.9
20,1,14,1.1
21,2,29,1.9
22,2,39,1.2
23,2,37,1.7
24,2,30,1.0
25,2,24,1.1
26,2,34,1.9
27,2,36,1.9
28,2,25,1.2
29,2,35,1.7
30,2,26,1.9
31,2,38,1.2
32,2,33,1.6
33,2,21,1.2
34,2,31,1.7
35,2,40,1.0
36,2,22,1.7
37,2,23,1.6
38,2,28,1.2
39,2,32,1.1
40,2,27,1.7
41,3,50,1.8
42,3,59,1.8
43,3,42,1.2
44,3,44,1.9
45,3,53,1.2
46,3,51,1.7
47,3,57,1.5
48,3,45,1.5
49,3,55,1.5
50,3,58,1.9
51,3,43,1.3
52,3,54,1.6
53,3,60,1.4
54,3,47,1.5
55,3,41,1.4
56,3,52,1.5
57,3,46,1.9
58,3,56,1.2
59,3,48,1.2
60,3,49,1.4
61,4,79,1.2
62,4,80,1.4
63,4,61,1.9
64,4,69,1.5
65,4,62,1.7
66,4,73,1.5
67,4,71,1.8
68,4,63,1.1
69,4,68,1.9
70,4,77,1.1
71,4,72,1.6
72,4,65,1.5
73,4,74,2.0
74,4,75,1.9
75,4,64,1.5
76,4,66,1.7
77,4,78,1.4
78,4,76,1.8
79,4,70,1.8
80,4,67,1.9
81,5,9,1.5
82,5,15,1.4
83,5,8,1.9
84,5,13,1.4
85,5,6,1.2
86,5,1,1.9
87,5,18,1.1
88,5,17,1.2
89,5,3,2.0
90,5,19,1.1
91,5,16,1.0
92,5,4,1.3
93,5,12,1.8
94,5,7,1.0
95,5,11,1.5
96,5,10,1.2
97,5,5,1.4
98,5,20,1.6
99,5,2,1.9
100,5,14,1.1
101,6,29,1.9
102,6,39,1.2
103,6,37,1.7
104,6,34,1.9
105,6,24,1.1
106,6,30,1.0
107,6,36,1.9
108,6,25,1.2
109,6,35,1.7
110,6,26,1.9
111,6,23,1.6
112,6,33,1.6
113,6,21,1.2
114,6,31,1.7
115,6,40,1.0
116,6,22,1.7
117,6,38,1.2
118,6,28,1.2
119,6,32,1.1
120,6,27,1.7
121,7,50,1.8
122,7,59,1.8
123,7,42,1.2
124,7,44,1.9
125,7,47,1.5
126,7,51,1.7
127,7,57,1.5
128,7,45,1.5
129,7,58,1.9
130,7,55,1.5
131,7,43,1.3
132,7,54,1.6
133,7,60,1.4
134,7,53,1.2
135,7,41,1.4
136,7,52,1.5
137,7,46,1.9
138,7,56,1.2
139,7,48,1.2
140,7,49,1.4
141,8,79,1.2
142,8,80,1.4
143,8,61,1.9
144,8,69,1.5
145,8,62,1.7
146,8,73,1.5
147,8,75,1.9
148,8,63,1.1
149,8,68,1.9
150,8,77,1.1
151,8,72,1.6
152,8,71,1.8
153,8,74,2.0
154,8,65,1.5
155,8,64,1.5
156,8,66,1.7
157,8,78,1.4
158,8,76,1.8
159,8,70,1.8
160,8,67,1.9
161,9,9,1.5
162,9,15,1.4
163,9,8,1.9
164,9,19,1.1
165,9,13,1.4
166,9,6,1.2
167,9,1,1.9
168,9,18,1.1
169,9,17,1.2
170,9,16,1.0
171,9,3,2.0
172,9,4,1.3
173,9,12,1.8
174,9,7,1.0
175,9,11,1.5
176,9,10,1.2
177,9,5,1.4
178,9,20,1.6
179,9,2,1.9
180,9,14,1.1
181,10,33,1.6
182,10,39,1.2
183,10,37,1.7
184,10,30,1.0
185,10,24,1.1
186,10,34,1.9
187,10,36,1.9
188,10,25,1.2
189,10,35,1.7
190,10,26,1.9
191,10,23,1.6
192,10,29,1.9
193,10,21,1.2
194,10,31,1.7
195,10,40,1.0
196,10,22,1.7
197,10,38,1.2
198,10,28,1.2
199,10,32,1.1
200,10,27,1.7
201,11,44,1.9
202,11,59,1.8
203,11,42,1.2
